timestamp,channel,action,power_w
1773058984511,CH1,POWER,15.21
1773058984522,CH1,POWER,15.21
1773058984534,CH1,POWER,15.21
1773058984546,CH1,POWER,15.21
1773058984555,CH1,POWER,15.21
1773058984564,CH1,POWER,15.21
1773058984575,CH1,POWER,15.21
1773058984587,CH1,POWER,15.21
1773058984599,CH1,POWER,15.21
1773058984610,CH1,POWER,15.21
1773058984620,CH1,POWER,15.21
1773058984630,CH1,POWER,15.21
1773058984640,CH1,POWER,15.21
1773058984652,CH1,POWER,15.21
1773058984664,CH1,POWER,15.21
1773058984674,CH1,POWER,15.21
1773058984686,CH1,POWER,15.21
1773058984694,CH1,POWER,15.21
1773058984704,CH1,POWER,15.21
1773058984713,CH1,POWER,15.21
1773058984719,CH1,POWER,15.21
1773058984725,CH1,POWER,15.21
1773058984736,CH1,POWER,15.21
1773058984744,CH1,POWER,15.21
1773058984756,CH1,POWER,15.21
1773058984765,CH1,POWER,15.21
1773058984776,CH1,POWER,15.21
1773058984784,CH1,POWER,15.21
1773058984794,CH1,POWER,15.21
1773058984804,CH1,POWER,15.21
1773058984813,CH1,POWER,15.21
1773058984826,CH1,POWER,15.21
1773058984834,CH1,POWER,15.21
1773058984846,CH1,POWER,15.21
1773058984856,CH1,POWER,15.21
1773058984866,CH1,POWER,15.21
1773058984876,CH1,POWER,15.21
1773058984888,CH1,POWER,15.21
1773058984900,CH1,POWER,15.21
1773058984910,CH1,POWER,15.21
1773058984920,CH1,POWER,15.21
1773058984930,CH1,POWER,15.21
1773058984942,CH1,POWER,15.21
1773058984954,CH1,POWER,15.21
1773058984965,CH1,POWER,15.21
1773058984975,CH1,POWER,15.21
1773058984988,CH1,POWER,15.21
1773058984998,CH1,POWER,15.21
1773058985008,CH1,POWER,15.21
1773058985020,CH1,POWER,15.21
1773058985032,CH1,POWER,15.21
1773058985043,CH1,POWER,15.21
1773058985052,CH1,POWER,15.21
1773058985060,CH1,POWER,15.21
1773058985072,CH1,POWER,15.21
1773058985128,CH1,POWER,15.01
1773058985136,CH1,POWER,15.01
1773058985146,CH1,POWER,15.01
1773058985158,CH1,POWER,15.01
1773058985168,CH1,POWER,15.01
1773058985176,CH1,POWER,15.01
1773058985186,CH1,POWER,15.01
1773058985198,CH1,POWER,15.01
1773058985208,CH1,POWER,15.01
1773058985218,CH1,POWER,15.01
1773058985230,CH1,POWER,15.01
1773058985238,CH1,POWER,15.01
1773058985246,CH1,POWER,15.01
1773058985254,CH1,POWER,15.01
1773058985267,CH1,POWER,15.01
1773058985276,CH1,POWER,15.01
1773058985286,CH1,POWER,15.01
1773058985295,CH1,POWER,15.01
1773058985304,CH1,POWER,15.01
1773058985315,CH1,POWER,15.01
1773058985328,CH1,POWER,15.01
1773058985338,CH1,POWER,15.01
1773058985348,CH1,POWER,15.01
1773058985358,CH1,POWER,15.01
1773058985370,CH1,POWER,15.01
